"","summary.mean","summary.se_mean","summary.sd","summary.2.5.","summary.25.","summary.50.","summary.75.","summary.97.5.","summary.n_eff","summary.Rhat","c_summary.mean.chain.1","c_summary.sd.chain.1","c_summary.2.5..chain.1","c_summary.25..chain.1","c_summary.50..chain.1","c_summary.75..chain.1","c_summary.97.5..chain.1"
"dH_adj[369]",-214.789350724458,0.609355295699914,17.0418469287691,-248.461007727966,-226.628936765546,-215.325981676781,-203.168362034434,-181.162776602643,782.153765868605,1.00404317847137,-214.789350724458,17.0418469287691,-248.461007727966,-226.628936765546,-215.325981676781,-203.168362034434,-181.162776602643
"dH_adj[370]",-186.954298216454,0.435814223869167,12.5650164597066,-211.602250452456,-195.718354545554,-187.04245552198,-177.873973047268,-163.220733176524,831.234045894849,0.99921787786252,-186.954298216454,12.5650164597066,-211.602250452456,-195.718354545554,-187.04245552198,-177.873973047268,-163.220733176524
"dH_adj[371]",-212.23004998386,0.506711078406071,14.6090528757026,-240.887651718666,-222.419814774701,-212.332548435967,-201.672566756473,-184.635585009689,831.234045894849,0.99921787786252,-212.23004998386,14.6090528757026,-240.887651718666,-222.419814774701,-212.332548435967,-201.672566756473,-184.635585009689
"dH_adj[372]",-213.756866400343,0.510993700042018,14.7325256959989,-242.65667650685,-224.032753064216,-213.860231149058,-203.110153416556,-185.929178475723,831.234045894849,0.99921787786252,-213.756866400343,14.7325256959989,-242.65667650685,-224.032753064216,-213.860231149058,-203.110153416556,-185.929178475723
"dH_adj[373]",-191.742949704513,0.449246082636455,12.9522721233631,-217.150555469942,-200.777115544486,-191.83382403122,-182.382767572076,-167.277912683631,831.234045894849,0.99921787786252,-191.742949704513,12.9522721233631,-217.150555469942,-200.777115544486,-191.83382403122,-182.382767572076,-167.277912683631
"dH_adj[374]",-186.898777619491,0.435658492173314,12.5605265389685,-211.53792227834,-195.659702244117,-186.986903423322,-177.82169716872,-163.173693414123,831.234045894849,0.99921787786252,-186.898777619491,12.5605265389685,-211.53792227834,-195.659702244117,-186.986903423322,-177.82169716872,-163.173693414123
"dH_adj[375]",-185.760605381749,0.432465992408336,12.4684831638385,-210.219194708967,-194.45733006466,-185.848085400836,-176.750041658476,-162.209378284897,831.234045894849,0.99921787786252,-185.760605381749,12.4684831638385,-210.219194708967,-194.45733006466,-185.848085400836,-176.750041658476,-162.209378284897
"dH_adj[376]",-216.921540427234,0.519870406705617,14.9884511780676,-246.32338243145,-227.375934246119,-217.026700772555,-206.089878493821,-188.610444932594,831.234045894849,0.99921787786252,-216.921540427234,14.9884511780676,-246.32338243145,-227.375934246119,-217.026700772555,-206.089878493821,-188.610444932594
"dH_adj[377]",-180.055864043801,0.41646456065948,12.0071438080042,-203.60947481857,-188.430806092019,-180.140107263742,-171.378695137617,-157.37604269817,831.234045894848,0.999217877862521,-180.055864043801,12.0071438080042,-203.60947481857,-188.430806092019,-180.140107263742,-171.378695137617,-157.37604269817
"dH_adj[378]",-209.967585657618,0.500365011800077,14.4260886056272,-238.266278623448,-220.029733491148,-210.068800415659,-199.542324705621,-182.718714691838,831.234045894849,0.999217877862521,-209.967585657618,14.4260886056272,-238.266278623448,-220.029733491148,-210.068800415659,-199.542324705621,-182.718714691838
